crop,coefficient
Broccoli,1.05
Brussel Sprouts,1.05
Cabbage,1.05
Carrots,1.05
Cauliflower,1.05
Celery,1.05
Garlic,1
Lettuce,1
Onions,1
Spinach,1
Radish,0.9
Egg Plant,1.05
Sweet Peppers (bell),1.052
Tomato,1.152
Cantaloupe,0.85
"Pumpkin, Winter Squash",1
"Squash, Zucchini",0.95
Sweet Melons,1.05
Watermelon,1
"Beets, table",1.05
Parsnip,1.05
Potato,1.15
Sweet Potato,1.15
Turnip (and Rutabaga),1.1
Sugar Beet,1.2
"Beans, green",1.052
"Beans, dry and Pulses",1.152
Chick pea,1
Grabanzo,1.15
Lentil,1.1
Soybeans,1.15
Artichokes,1
Asparagus,0.957
Mint,1.15
Strawberries,0.85
Cotton,1.17
Flax,1.1
Sesame,1.1
Barley,1.15
Oats,1.15
Spring Wheat,1.15
"Maize, Field (grain) (field corn)",1.2
"Maize, Sweet (sweet corn)",1.15
Millet,1
Rice,1.2
Berries (bushes),1.05
,
,
,
,
,
,
